id,binary_value
769,00000000000000000000110011000111
770,00000000000000000000101111010011
771,00000000000000000000111101000010
772,00000000000000000000110000000100
773,00000000000000000000110011000111
774,00000000000000000000101110100011
775,00000000000000000000111110100100
776,00000000000000000000110000110101
777,00000000000000000000110001100110
778,00000000000000000000111100010001
779,00000000000000000000110010010111
780,00000000000000000001000101011011
781,00000000000000000000110000000100
782,00000000000000000000110001100110
783,00000000000000000000101101000001
784,00000000000000000000110011000111
785,00000000000000000000110000110101
786,00000000000000000000110000110101
787,00000000000000000000110000000100
788,00000000000000000000110000110101
789,00000000000000000000110000110101
790,00000000000000000000101100010000
791,00000000000000000000110101011010
792,00000000000000000000101101110010
793,00000000000000000000101110100011
794,00000000000000000000110011000111
795,00000000000000000000110000110101
796,00000000000000000000101101000001
797,00000000000000000000101100010000
798,00000000000000000000111111010101
799,00000000000000000000101101110010
800,00000000000000000000110011000111
801,00000000000000000000101101110010
802,00000000000000000000101100010000
803,00000000000000000000110001100110
804,00000000000000000001000101011011
805,00000000000000000001000110001100
806,00000000000000000000101100010000
807,00000000000000000000101101000001
808,00000000000000000000110011111000
809,00000000000000000000111111010101
810,00000000000000000000110010010111
811,00000000000000000000110100101001
812,00000000000000000000101100010000
813,00000000000000000001001000011111
814,00000000000000000000101100010000
815,00000000000000000000110000000100
816,00000000000000000000101101000001
817,00000000000000000000101110100011
818,00000000000000000000111100010001
819,00000000000000000000101101000001
820,00000000000000000001000101011011
821,00000000000000000000110101011010
822,00000000000000000000110011111000
823,00000000000000000001000111101110
824,00000000000000000000101111010011
825,00000000000000000000110001100110
826,00000000000000000001000111101110
827,00000000000000000000101101000001
828,00000000000000000000101101000001
829,00000000000000000000110000000100
830,00000000000000000000101101000001
831,00000000000000000000111111010101
832,00000000000000000000110100101001
833,00000000000000000000110000110101
834,00000000000000000000110100101001
835,00000000000000000000110011111000
836,00000000000000000000110000000100
837,00000000000000000001000110111101
838,00000000000000000000101101000001
839,00000000000000000000110011111000
840,00000000000000000000110010010111
841,00000000000000000000101101110010
842,00000000000000000000101100010000
843,00000000000000000000110001100110
844,00000000000000000000110110111100
845,00000000000000000000101100010000
846,00000000000000000001001000011111
847,00000000000000000000101100010000
848,00000000000000000000101101110010
849,00000000000000000001000011111010
850,00000000000000000000101101110010
851,00000000000000000000101101110010
852,00000000000000000000110000110101
853,00000000000000000000110100101001
854,00000000000000000000101100010000
855,00000000000000000001001000011111
856,00000000000000000000101101110010
857,00000000000000000000101111010011
858,00000000000000000000101101000001
859,00000000000000000000111001001110
860,00000000000000000000110000000100
861,00000000000000000000101111010011
862,00000000000000000000111101110011
863,00000000000000000000111000011101
864,00000000000000000000110000000100
865,00000000000000000000110100101001
866,00000000000000000001000011111010
867,00000000000000000000111010110000
868,00000000000000000000110000110101
869,00000000000000000000110000000100
870,00000000000000000000111111010101
871,00000000000000000000101101110010
872,00000000000000000000110010010111
873,00000000000000000000111001111111
874,00000000000000000000110010010111
875,00000000000000000000110100101001
876,00000000000000000001000011111010
877,00000000000000000000110010010111
878,00000000000000000000101101110010
879,00000000000000000000111101000010
880,00000000000000000000110110001011
881,00000000000000000000110011111000
882,00000000000000000000110101011010
883,00000000000000000001000000110110
884,00000000000000000000111011100001
885,00000000000000000000110000110101
886,00000000000000000001000000110110
887,00000000000000000001000011001001
888,00000000000000000000101111010011
889,00000000000000000000110111101100
890,00000000000000000000110000110101
891,00000000000000000000101101110010
892,00000000000000000000110011000111
893,00000000000000000000101111010011
894,00000000000000000000110011000111
895,00000000000000000000110001100110
896,00000000000000000000110111101100
897,00000000000000000000110111101100
898,00000000000000000001000000000110
899,00000000000000000000110011111000
900,00000000000000000000110001100110
901,00000000000000000000110011111000
902,00000000000000000000110110001011
903,00000000000000000000110011000111
904,00000000000000000000110001100110
905,00000000000000000000111001111111
906,00000000000000000000110000110101
907,00000000000000000000110110001011
908,00000000000000000000110010010111
909,00000000000000000001000111101110
910,00000000000000000001000010011000
911,00000000000000000000110011111000
912,00000000000000000000110100101001
913,00000000000000000000110010010111
914,00000000000000000001000011001001
915,00000000000000000000110010010111
916,00000000000000000000110000110101
917,00000000000000000000110001100110
918,00000000000000000000110001100110
919,00000000000000000001000001100111
920,00000000000000000000111001001110
921,00000000000000000001000000000110
922,00000000000000000000111001001110
923,00000000000000000000110010010111
924,00000000000000000000110000110101
925,00000000000000000000111000011101
926,00000000000000000000110110001011
927,00000000000000000000110011000111
928,00000000000000000000111000011101
929,00000000000000000000111001111111
930,00000000000000000000110001100110
931,00000000000000000000110110111100
932,00000000000000000001000011001001
933,00000000000000000001000100101011
934,00000000000000000000110001100110
935,00000000000000000000111001001110
936,00000000000000000000110101011010
937,00000000000000000000110010010111
938,00000000000000000000110101011010
939,00000000000000000001000110001100
940,00000000000000000001000000000110
941,00000000000000000000110110111100
942,00000000000000000000111000011101
943,00000000000000000000111100010001
944,00000000000000000000110011111000
945,00000000000000000000110110001011
946,00000000000000000000110110001011
947,00000000000000000000111011100001
948,00000000000000000001000101011011
949,00000000000000000000110000110101
950,00000000000000000000111001001110
951,00000000000000000000110011000111
952,00000000000000000000110000110101
953,00000000000000000000110111101100
954,00000000000000000000110110111100
955,00000000000000000001000110111101
956,00000000000000000000111110100100
957,00000000000000000000110000110101
958,00000000000000000000110000110101
959,00000000000000000001000111101110
960,00000000000000000000110000110101
961,00000000000000000000110001100110
962,00000000000000000000111000011101
963,00000000000000000000110111101100
964,00000000000000000000110110001011
965,00000000000000000000111000011101
966,00000000000000000000110000110101
967,00000000000000000000110100101001
968,00000000000000000001000101011011
969,00000000000000000000110011111000
970,00000000000000000000110000110101
971,00000000000000000000110000110101
972,00000000000000000000110101011010
973,00000000000000000001000110111101
974,00000000000000000000110011111000
975,00000000000000000000110011111000
976,00000000000000000000110010010111
977,00000000000000000000111111010101
978,00000000000000000000110101011010
979,00000000000000000000110111101100
980,00000000000000000000110111101100
981,00000000000000000000110100101001
982,00000000000000000000110000110101
983,00000000000000000000110000110101
984,00000000000000000000111001001110
985,00000000000000000000110011111000
986,00000000000000000001000011111010
987,00000000000000000000110001100110
988,00000000000000000000111000011101
989,00000000000000000000111001001110
990,00000000000000000001000011001001
991,00000000000000000000110000000100
992,00000000000000000001000111101110
